check_id,group,class,module,title,requirement,status,verdict,operator_note,journal_range,started_at,ended_at,duration_ms
TC-SYS-01,TC-SYS,tech,Система,Доступность сервиса,"FR-1, UC-01, BR-R8",успех,GET /health отвечает 200: сервис помечен доступным,,#152,2026-09-18T14:23:47,2026-09-18T14:23:47,62.0
TC-SYS-02,TC-SYS,tech,Система,Версия сборки и её состав,"FR-1, BR-R8",успех,сборка dev@83319ae; заполнено полей: 4,,#153,2026-09-18T14:23:47,2026-09-18T14:23:47,16.0
TC-SYS-03,TC-SYS,tech,Система,Поведение на неизвестном пути,NFR-2,отказ,неизвестный путь отвечает 405 вместо 404,,#154,2026-09-18T14:23:47,2026-09-18T14:23:47,109.0
TC-SYS-04,TC-SYS,tech,Система,Неизвестная задача,"BR-R7, UC-27",успех,неизвестная задача: 404 — пульт различает «не найдена» и «сервер недоступен» (Task not found),,#155,2026-09-18T14:23:47,2026-09-18T14:23:47,47.0
TC-SYS-05,TC-SYS,tech,Система,Единый формат ошибок,"NFR-2, BR-R2",успех,"формат ошибок валидации согласован: /api/data/files → 422/HTTPValidationError.detail[], /api/datasets/not-a-uuid → 422/HTTPValidationError.detail[]",,#156…157,2026-09-18T14:23:47,2026-09-18T14:23:47,78.0
TC-SYS-06,TC-SYS,manual,Система,Различимость сборок,BR-R8,не выполнена,,,—,,,
TC-FILE-01,TC-FILE,tech,File Import,Реестр файлов получен полностью,"UC-03, FR-2, BR-F1",успех,"реестр получен: файлов 266, count совпадает, обязательные поля на месте",,#158,2026-09-18T14:23:47,2026-09-18T14:23:47,94.0
TC-FILE-02,TC-FILE,tech,File Import,Фильтр `file_name` — подстрока,"UC-03, NFR-4",успех,"фильтр file_name: «ер.raw» → 10 из 266 файлов, все имена содержат подстроку",,#159…160,2026-09-18T14:23:47,2026-09-18T14:23:47,109.0
TC-FILE-03,TC-FILE,tech,File Import,Фильтр `file_type` — точный и регистрозависимый,"UC-03, NFR-4",успех,фильтр file_type=H5 → 6 файлов,,#161…163,2026-09-18T14:23:47,2026-09-18T14:23:47,141.0
TC-FILE-04,TC-FILE,tech,File Import,Фильтр `import_date` — только дата,"UC-03, BR-R2",успех,"фильтр import_date=2026-09-18: 1 из 266 файлов, все — этой даты",,#164…165,2026-09-18T14:23:47,2026-09-18T14:23:47,125.0
TC-FILE-05,TC-FILE,tech,File Import,Пагинация `limit`/`offset`,NFR-4,успех,limit=5 → 266 из 266 файлов (клиентская пагинация (параметры limit/offset игнорируются — замечание к API P2)),,#166…167,2026-09-18T14:23:47,2026-09-18T14:23:48,156.0
TC-FILE-06,TC-FILE,tech,File Import,Объём реестра и суммарный размер,UC-03,успех,"файлов 266, суммарный размер 39 ГБ, типы: {'RAW': 129, 'LOADS': 129, 'H5': 6, 'REPORT_ZIP': 2}",,#168,2026-09-18T14:23:48,2026-09-18T14:23:48,63.0
TC-FILE-07,TC-FILE,tech,File Import,Дубли имён файлов,"замечание №1, BR-R2",успех,"дубли имён: «Antminer_S19.markup.csv» — 2 версии, различаются id, size, import_date, s3_path · полей `checksum`/`updated_at` в схеме нет (замечание к API)",,#169,2026-09-18T14:23:48,2026-09-18T14:23:48,62.0
TC-FILE-08,TC-FILE,tech,File Import,Скачивание файла (ASCII-имя),"UC-04, BR-F1",успех,"файл «Wi-Fi.markup.csv» скачан: 3.2 КБ, размер совпал с реестром",,#170…171,2026-09-18T14:23:48,2026-09-18T14:23:48,125.0
TC-FILE-09,TC-FILE,tech,File Import,Заголовки скачивания,замечание к API №2,успех,"заголовки скачивания: нет `content-length`, `accept-ranges`, `etag`",,#172…173,2026-09-18T14:23:48,2026-09-18T14:23:48,109.0
TC-FILE-10,TC-FILE,tech,File Import,Скачивание файла с не-ASCII именем,замечание к API (P0),блокировано API,"скачивание не-ASCII имени не работает: 404 latin-1 — замечание к API (P0), записи с такими именами недоступны пульту",,#174…175,2026-09-18T14:23:48,2026-09-18T14:23:48,469.0
TC-FILE-11,TC-FILE,live,File Import,Загрузка CSV без обязательных колонок,"UC-02, BR-F1",не выполнена,,,—,,,
TC-FILE-12,TC-FILE,live,File Import,Загрузка с MIME `application/octet-stream`,замечание к API №5,не выполнена,,,—,,,
TC-FILE-13,TC-FILE,live,File Import,Round-trip `upload → list → download → delete`,UC-02…UC-05,не выполнена,,,—,,,
